album_id,name,total_tracks,release_date,album_type,artist_id,popularity
4iz9Pqwpw8HljZei6XFCGd,That Way,1.0,2020-03-01,single,4O15NlyKLIASxsJ0PrXPfz,76
4uTOUYhLrGRKkfxfPKTkuy,Futsal Shuffle 2020,1.0,2019-12-12,single,4O15NlyKLIASxsJ0PrXPfz,73
5UL4JeebFRM3CwLfk7ZAlh,Show U Off (feat. Lil Uzi Vert),1.0,2019-04-26,single,4O15NlyKLIASxsJ0PrXPfz,33
2WyjmS6PEAE2V9oh5So588,Show U Off (feat. Lil Uzi Vert),1.0,2019-04-26,single,4O15NlyKLIASxsJ0PrXPfz,38
49K82qcZN4u109e6Zw8io1,Sanguine Paradise,1.0,2019-04-09,single,4O15NlyKLIASxsJ0PrXPfz,71
7jV7IRYpTLmTJe7uZXZCZh,That's a Rack,1.0,2019-04-09,single,4O15NlyKLIASxsJ0PrXPfz,62
1BMfByaGjaWoSraUSfCQQh,420 in London,1.0,2018-10-02,single,4O15NlyKLIASxsJ0PrXPfz,44
435lskCkjbKTmpmescTIpI,New Patek,1.0,2018-09-21,single,4O15NlyKLIASxsJ0PrXPfz,28
64eE6FnNj7UJ9LEkN4EbvS,New Patek,1.0,2018-09-18,single,4O15NlyKLIASxsJ0PrXPfz,62
7hVFsGvQ1apmp4EAldMwID,Watch (feat. Lil Uzi Vert & Kanye West),1.0,2018-05-04,single,4O15NlyKLIASxsJ0PrXPfz,58
3uDbCFQLj4zd7uqXQscEIt,Watch (feat. Lil Uzi Vert & Kanye West),1.0,2018-05-02,single,4O15NlyKLIASxsJ0PrXPfz,0
51HrCduoCfmUtzrYHf7onw,Sauce It Up,1.0,2018-02-16,single,4O15NlyKLIASxsJ0PrXPfz,38
0KaQCJshy3j3TKCu59Yh6X,Smoke My Dope (with Steve Aoki & Lil Uzi Vert) (From Bright: The Album),1.0,2017-12-15,single,4O15NlyKLIASxsJ0PrXPfz,32
6x8tzop53PDl2tvjIXB9a0,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) [Remix],1.0,2017-11-03,single,4O15NlyKLIASxsJ0PrXPfz,53
3dIJfqjcEFjBlLoN1B8LU3,The Way Life Goes (feat. Nicki Minaj & Oh Wonder) [Remix],1.0,2017-11-02,single,4O15NlyKLIASxsJ0PrXPfz,19
749Tz64P7CRASs0uiKIEGU,Zambamafoo,1.0,2017-07-31,single,4O15NlyKLIASxsJ0PrXPfz,38
5RwV0u1A3sQELA5e5llaKs,Go Off,1.0,2017-03-03,single,4O15NlyKLIASxsJ0PrXPfz,23
7ud6EsFurWtzF3lzB8YqNI,Go Off,1.0,2017-03-03,single,4O15NlyKLIASxsJ0PrXPfz,46
3G9US0Byt1UldeKifKPIwa,Go Off,1.0,2017-03-02,single,4O15NlyKLIASxsJ0PrXPfz,47
2LLktilGbQD95Bqt6ZXJX7,We Rollin (feat. Lil Uzi Vert & Rome Fortune),1.0,2016-04-22,single,4O15NlyKLIASxsJ0PrXPfz,23
1kLcxp6VxnDTXgAPCFTeiy,Money Longer,1.0,2016-04-01,single,4O15NlyKLIASxsJ0PrXPfz,32
2xjjRh1xKSDBq6vE5XiroA,Money Longer,1.0,2016-04-01,single,4O15NlyKLIASxsJ0PrXPfz,6
3TBDsoyXYFtAciT0bQjKDl,Count Dem Rolls (feat. Uzi Gang),1.0,2014,single,4O15NlyKLIASxsJ0PrXPfz,35
0fEO7g2c5onkaXsybEtuD2,Eternal Atake (Deluxe) - LUV vs. The World 2,32.0,2020-03-13,album,4O15NlyKLIASxsJ0PrXPfz,90
7IyoGB8J31fvQDwGtHAq9m,Eternal Atake,18.0,2020-03-06,album,4O15NlyKLIASxsJ0PrXPfz,91
0zicd2mBV8HTzSubByj4vP,Luv Is Rage 2 (Deluxe),20.0,2017-11-17,album,4O15NlyKLIASxsJ0PrXPfz,74
3JeNGvA44e3pPkl4axzIjZ,Luv Is Rage 2 (Deluxe),20.0,2017-11-17,album,4O15NlyKLIASxsJ0PrXPfz,42
733e1ZfktLSwj96X5rsMeE,Luv Is Rage 2,16.0,2017-08-25,album,4O15NlyKLIASxsJ0PrXPfz,80
2DiIYE1nwRB4JW42HoXBnu,Luv Is Rage 2,16.0,2017-08-24,album,4O15NlyKLIASxsJ0PrXPfz,47
6LX75kNicFqjjiAOeZgN67,The Perfect LUV Tape,10.0,2016-08-10,album,4O15NlyKLIASxsJ0PrXPfz,72
7mgdTKTCdfnLoa1HXHvLYM,Lil Uzi Vert vs. The World,9.0,2016-05-27,album,4O15NlyKLIASxsJ0PrXPfz,74
5WrbKW1nRN4vSsu70uizxX,Luv Is Rage,12.0,2015-12-18,album,4O15NlyKLIASxsJ0PrXPfz,68
432608DLpP0hExluDkY3Yh,Gucci Pajamas (feat. Chance the Rapper and Charlie Wilson),1.0,2019-10-03,single,1anyVhU62p31KFi8MEzkbf,40
49bXZtlI5kQSqQMSCnSaWO,Cross Me (feat. Chance the Rapper & PnB Rock) [M-22 Remix],1.0,2019-06-21,single,1anyVhU62p31KFi8MEzkbf,45
5MKInakULmoBNApeB2ZB3A,Cross Me (feat. Chance the Rapper & PnB Rock),1.0,2019-05-24,single,1anyVhU62p31KFi8MEzkbf,64
4tvWn8rsp56lzyMKV409Og,GRoCERIES,1.0,2019-05-17,single,1anyVhU62p31KFi8MEzkbf,59
3oa90TbTT5bJwCUJ5fDmvu,The Man Who Has Everything,1.0,2018-11-30,single,1anyVhU62p31KFi8MEzkbf,50
6RQhltF3miWYkdfDT0JIbG,My Own Thing,1.0,2018-11-29,single,1anyVhU62p31KFi8MEzkbf,50
3vmi56TsSbDKwnN9ZnWROz,Wake Up (feat. Chance the Rapper),1.0,2018-11-05,single,1anyVhU62p31KFi8MEzkbf,28
5pQOfgCqpu4RrJAfQToFa8,I Might Need Security,1.0,2018-07-19,single,1anyVhU62p31KFi8MEzkbf,51
53vsM5JN76NXiv7aj4PXK1,Work Out,1.0,2018-07-18,single,1anyVhU62p31KFi8MEzkbf,46
3aMsYP1nhJx0rJ6DX6bvAe,Wala Cam,1.0,2018-07-17,single,1anyVhU62p31KFi8MEzkbf,41
3SQBhLa7AkmCNWuDmJpRkD,65th & Ingleside,1.0,2018-07-16,single,1anyVhU62p31KFi8MEzkbf,46
4OtCzrYbNZp8c5czzAJeUP,Angels (feat. Saba),1.0,2015-10-27,single,1anyVhU62p31KFi8MEzkbf,41
7bgi7zCoDsZdlLKPonHZqP,The Big Day,22.0,2019-07-26,album,1anyVhU62p31KFi8MEzkbf,73
7niOG7nbuUzXSvNtJruogj,The Big Day,22.0,2019-07-26,album,1anyVhU62p31KFi8MEzkbf,42
71QyofYesSsRMwFOTafnhB,Coloring Book,14.0,2016-05-27,album,1anyVhU62p31KFi8MEzkbf,73
2VBcztE58pBKjIDS5oEgFh,Acid Rap,14.0,2013-04-30,album,1anyVhU62p31KFi8MEzkbf,69
6bUsvxMAuR8NXG2ujCU4yi,10 Day,14.0,2012-04-03,album,1anyVhU62p31KFi8MEzkbf,54
1fBcjfHpvjKj8ofg8NAhmM,Psycho! (Remix) (feat. Trippie Redd),1.0,2020-04-14,single,6Xgp2XMz1fhVYe7i6yNAax,0
2fKJAIWnOn6VQwnpNl3Bso,The Way (feat. Russ),1.0,2020-02-19,single,6Xgp2XMz1fhVYe7i6yNAax,60
2orYogfKeURqyS1hRP1vZ4,YELL OH,1.0,2020-02-07,single,6Xgp2XMz1fhVYe7i6yNAax,60
4wjwgVjWzrMv7Tp8w9Rmnd,YELL OH (feat. Young Thug),1.0,2020-02-07,single,6Xgp2XMz1fhVYe7i6yNAax,44
0yiQkEA0kGrkvhlQkpu30d,Wake Up Call (feat. Trippie Redd),1.0,2020-01-30,single,6Xgp2XMz1fhVYe7i6yNAax,30
2CNIeGAVIK6FSWiQK0MBLS,Wake Up Call (feat. Trippie Redd),1.0,2020-01-27,single,6Xgp2XMz1fhVYe7i6yNAax,66
6ayA69JRJzCvDGeZir7Ysr,Who Needs Love,1.0,2019-11-19,single,6Xgp2XMz1fhVYe7i6yNAax,51
0wb2DaHDhLUUS5RRFa26U9,Death (feat. DaBaby),1.0,2019-11-12,single,6Xgp2XMz1fhVYe7i6yNAax,65
6DNpFe4WAWTa84I6JBuey6,Love Me More,1.0,2019-11-01,single,6Xgp2XMz1fhVYe7i6yNAax,58
6uVGwJBJrKEunfTqWCDyn2,Love Me More,1.0,2019-11-01,single,6Xgp2XMz1fhVYe7i6yNAax,38
0zLTh5nuGUWbCPPiaeAPnb,!,1.0,2019-08-07,single,6Xgp2XMz1fhVYe7i6yNAax,36
2qLbbPRZS6rQo44nXH8Z9H,!,1.0,2019-08-07,single,6Xgp2XMz1fhVYe7i6yNAax,5
2HLwLpyTKv5C2ezhxYuQ5U,Mac 10,1.0,2019-07-24,single,6Xgp2XMz1fhVYe7i6yNAax,53
2nXb6mFjYhHmcyhBV6LZ30,Mac 10,1.0,2019-07-24,single,6Xgp2XMz1fhVYe7i6yNAax,27
6ZhOC5xr3JOdr7hmQTSqyR,gone girl,1.0,2019-07-04,single,6Xgp2XMz1fhVYe7i6yNAax,61
2iVrW4u0oPERFW5tpkvNAw,Under Enemy Arms,1.0,2019-05-29,single,6Xgp2XMz1fhVYe7i6yNAax,50
6sk39wHqIBBxwBvqSj7jl4,Under Enemy Arms,1.0,2019-05-29,single,6Xgp2XMz1fhVYe7i6yNAax,27
5HxAReosORRcreO0KH6kve,Topanga,1.0,2018-10-22,single,6Xgp2XMz1fhVYe7i6yNAax,31
6cd8LVLiKVM3RYI42HkapE,Taking A Walk,1.0,2018-08-06,single,6Xgp2XMz1fhVYe7i6yNAax,46
3wfGIfiVa5764OJIdd8IwL,Love & Drugz II,1.0,2018-07-20,single,6Xgp2XMz1fhVYe7i6yNAax,40
5jpVsmuJfZl3gGvfPLHyiA,Me Likey,1.0,2018-06-22,single,6Xgp2XMz1fhVYe7i6yNAax,43
3M2PJCMOf07WgD9r71asB5,How You Feel,1.0,2018-06-21,single,6Xgp2XMz1fhVYe7i6yNAax,32
2CH8od3NBJpsvqTdY3H1HH,Jump (with Trippie Redd),1.0,2018-05-04,single,6Xgp2XMz1fhVYe7i6yNAax,54
2oeslyXeC2BH0UXSv5O1GH,Jump (with Trippie Redd),1.0,2018-05-04,single,6Xgp2XMz1fhVYe7i6yNAax,17
7jQXJtOgQsR8NpLdKZ8iv1,Wish (feat. Trippie Redd),1.0,2018-03-22,single,6Xgp2XMz1fhVYe7i6yNAax,47
0D2ArJUb7VQ2tVmsHZohUZ,Dark Knight Dummo (Feat. Travis Scott),1.0,2017-12-05,single,6Xgp2XMz1fhVYe7i6yNAax,61
7wkvOZR4wvDuu1dQYndTNO,Angels & Demons,5.0,2017-10-31,single,6Xgp2XMz1fhVYe7i6yNAax,32
7emMyaAzr0nZ7yP8P02zdu,Ill Nana (feat. Trippie Redd),1.0,2017-09-29,single,6Xgp2XMz1fhVYe7i6yNAax,21
2q3JHVSCf7EDm6hYKTYbgB,Ill Nana (feat. Trippie Redd),1.0,2017-09-28,single,6Xgp2XMz1fhVYe7i6yNAax,0
14ykV7sI2kUNPUgQbbAQIS,In Too Deep,1.0,2017-09-27,single,6Xgp2XMz1fhVYe7i6yNAax,31
3UvaDivs0zQN3B1D4v3wzf,Bust Down,1.0,2017-09-15,single,6Xgp2XMz1fhVYe7i6yNAax,37
322J4HMRGXW1AIczWJkPfU,Chair Falling,1.0,2017-07-11,single,6Xgp2XMz1fhVYe7i6yNAax,34
5Hsaxc6a2GWPAqXttPFbY0,A Love Letter To You 4 (Deluxe),29.0,2020-02-21,album,6Xgp2XMz1fhVYe7i6yNAax,67
0tKX7BLXiiRgXUKYdJzjEz,A Love Letter To You 4,21.0,2019-11-22,album,6Xgp2XMz1fhVYe7i6yNAax,81
2sdJtAHONSZdHAqI3W9TrL,A Love Letter To You 4,21.0,2019-11-22,album,6Xgp2XMz1fhVYe7i6yNAax,45
11vLnrFGWQRbonR6wFuCf8,!,13.0,2019-08-09,album,6Xgp2XMz1fhVYe7i6yNAax,69
30BzlWP45oDctXuwQWzOIo,!,13.0,2019-08-09,album,6Xgp2XMz1fhVYe7i6yNAax,35
6qRbGZqJ3aQY8N8bcHc1ug,A Love Letter To You 3,16.0,2018-11-09,album,6Xgp2XMz1fhVYe7i6yNAax,77
214f4uAY0p2KgY7Fl4fBgk,LIFE'S A TRIP,14.0,2018-08-10,album,6Xgp2XMz1fhVYe7i6yNAax,76
55XA1uIQSqmlTBkVVx6ptz,A Love Letter To You 2,14.0,2017-10-06,album,6Xgp2XMz1fhVYe7i6yNAax,62
7ae73nWyKrrH9wwGm97RIA,A Love Letter To You,12.0,2017-05-14,album,6Xgp2XMz1fhVYe7i6yNAax,73
7Ddeaiib1prp689aHF0ILF,Locationships,1.0,2019-01-28,single,0huGjMyP507tBCARyzSkrv,50
