id,name,popularity,followers
4O15NlyKLIASxsJ0PrXPfz,Lil uzi vert,95,8436114
1anyVhU62p31KFi8MEzkbf,Chance the Rapper,83,4770454
6Xgp2XMz1fhVYe7i6yNAax,Trippie Redd,88,4510836
0huGjMyP507tBCARyzSkrv,YBN Cordae,73,1010739
5K4W6rqBFWDnAN6FQUkS6x,Kanye West,90,11528211
3GBPw9NK25X1Wt2OUvOwY3,Jack Johnson,80,2766315
0hEurMDQu99nJRq8pTxO14,John Mayer,83,4491072
0n94vC3S9c3mb2HyNAOcjg,The Head and the Heart,71,802721
2mVVjNmdjXZZDvhgQWiakk,Khrubangbin,71,528117
7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,81,1972337
1fA8WmzG2eU2q13kAAjoN8,Ricky Retro,50,11377
6nxWCVXbOlEVRexSbLsTer,Flume,78,1988082
7wg1qvie3KqDNQbAkTdbX0,Louis the Child,73,347909
4dM6NDYSfLcspt8GLoT5aE,Hippie Sabatoge,75,476532
1VJ0briNOlXRtJUAzoUJdt,Fisher,73,386261
1n2pb9Tsfe4SwAjmUac6YT,Jake Owen,71,1357132
3grHWM9bx2E9vwJCdlRv9O,Kenny Chesney,76,2904195
6x2LnllRG5uGarZMsD4iO8,Thomas rhett,79,3318620
0BvkDsjIUla7X0k6CSWh1I,Luke Bryan,79,5185640
4MoAOfV4ROWofLG3a3hhBN,Jon Pardi,75,979328
1uNFoZAHBGtllmzznpCI3s,Justin Beiber,95,34270040
6eUKZXaKkcviH0Ku9w2n3V,Ed Sheeran,93,62327775
06HL4z0CvFAxyc27GXpf02,Taylor Swift,92,28345596
163tK9Wjr9P9DmM0AVK7lm,Lorde,79,5665541
2h93pZq0e7k5yf4dywlkpM,Frank Ocean,85,5557798
