track_id,name,duration_ms,explicit,album_id,popularity,tempo,energy,acousticness,danceability
5raTDhlbxFDnpn89bxArdH,That Way,212354,True,4iz9Pqwpw8HljZei6XFCGd,86.0,129.962,0.611,0.0582,0.719
2Ec33AVlkTTq8BHFgBTdQs,Futsal Shuffle 2020,198912,True,4uTOUYhLrGRKkfxfPKTkuy,82.0,136.97,0.457,0.0327,0.881
60mcyQCSVEqWxrO6V2vtjj,Show U Off (feat. Lil Uzi Vert),241237,True,5UL4JeebFRM3CwLfk7ZAlh,43.0,77.616,0.559,0.0781,0.639
4Ek8WLusFsNHd3c4tRwBtm,Show U Off (feat. Lil Uzi Vert),241237,False,2WyjmS6PEAE2V9oh5So588,48.0,77.616,0.559,0.0781,0.639
3XiNC94b4Tq1xwv70sQJGN,Sanguine Paradise,243976,True,49K82qcZN4u109e6Zw8io1,81.0,134.972,0.603,0.0948,0.729
4pCEIQ6wBVuaJdER5bALtO,That's a Rack,236571,True,7jV7IRYpTLmTJe7uZXZCZh,72.0,140.042,0.432,0.0599,0.852
1zDwQIp3BgbH9dSmYtPBDH,420 in London,219088,True,1BMfByaGjaWoSraUSfCQQh,54.0,160.034,0.694,0.0138,0.783
0SMOSx8HWWBU6rzdTpFrp8,New Patek,343099,False,435lskCkjbKTmpmescTIpI,37.0,145.031,0.759,0.0483,0.87
0Fpen1PTuEnCmOJtUU9Iud,New Patek,343099,True,64eE6FnNj7UJ9LEkN4EbvS,72.0,145.063,0.785,0.0367,0.85
3DoBTwfr8yi2LN08SBpFkN,Watch (feat. Lil Uzi Vert & Kanye West),217405,True,7hVFsGvQ1apmp4EAldMwID,68.0,78.534,0.559,0.0372,0.706
1hBJgMpm0N8dhfE0E8rseY,Watch (feat. Lil Uzi Vert & Kanye West),217405,False,3uDbCFQLj4zd7uqXQscEIt,1.0,78.492,0.56,0.0481,0.453
2V2URIj73ZFksArTldfkRW,Sauce It Up,207038,True,51HrCduoCfmUtzrYHf7onw,48.0,79.532,0.528,0.0715,0.813
1BeTdfec8Kowv2QIU5o4IN,Smoke My Dope (with Steve Aoki & Lil Uzi Vert),202653,True,0KaQCJshy3j3TKCu59Yh6X,42.0,127.997,0.633,0.0183,0.782
